sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",notes
You can’t simply stuff ideas into a sentence any old way.,CONTAINMENT,"CONTAINMENT, FORCE, OBJECT, SUBSTANCE",You can't simply stuff clothes into a suitcase any old way.,4,7,
The meaning is right there in the words.,CONTAINMENT,"CONTAINMENT, OBJECT, CENTER-PERIPHERY",The book is right there on the shelf.,6,2,
You should form your words carefully.,CONTAINMENT,"OBJECT, SUBSTANCE, FORCE",You should shape the clay carefully.,7,1,
This is a well-crafted sentence.,CONTAINMENT,"OBJECT, PART-WHOLE",This is a well-built chair.,7,1,
Promises should be articulated clearly.,CONTAINMENT,"OBJECT, SUBSTANCE, SPLITTING",Words should be spoken distinctly.,4,1,
That remark is completely impenetrable.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",That wall is completely impenetrable.,7,4,
He writes sentences in such a way as to seal up the meaning in them.,CONTAINMENT,"CONTAINMENT, COVERING, OBJECT",He seals the contents in an airtight container.,4,7,
Are tomatoes in the fruit or vegetable category?,CONTAINMENT,"CONTAINMENT, PART-WHOLE",Are tomatoes placed in the fruit or vegetable section of the grocery store?,4,7,
It's a borderline case.,CONTAINMENT,"CONTAINMENT, SPLITTING",The fence marks the border between two properties.,6,1,
Put on a happy face.,CONTAINMENT,"COVERING, OBJECT, VERTICALITY",Put on a mask.,7,5,
Under cover of darkness.,CONTAINMENT,"COVERING, CONTAINMENT, SUBSTANCE",Under the blanket in the dark room.,7,5,
Darkness closed in over us.,CONTAINMENT,"CONTAINMENT, COVERING, FORCE, SOURCE_PATH_GOAL",The blanket covered us completely.,7,5,
She only has surface charm.,CONTAINMENT,"COVERING, SUBSTANCE, CONTAINMENT",The table only has a surface coating.,7,5,
They had a falling out.,CONTAINMENT,"SOURCE_PATH_GOAL, VERTICALITY, SPLITTING",The apple fell from the tree and split open.,3,3,
Let’s strip away all the unimportant details.,CENTER-PERIPHERY,"COVERING, SUBSTANCE, CONTAINMENT, SPLITTING",Let's remove the outer layer of paint from the wall.,4,7,
Put aside for a moment the fact that the man has been in prison.,CENTER-PERIPHERY,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",Move the book to the side of the desk for a moment.,5,7,
"The Muslim tradition spoke to her again at a time of distress in her life, after the death of her mother.‘I was in the midst of a personal crisis, along with my mom’s death,<...>.’",CENTER-PERIPHERY,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, LINK","The person found comfort in religious practices during a difficult period following her mother's passing. 'I was experiencing personal challenges while also dealing with my mother's death,<...>.'",4,7,
Emigration has threatened to unravel the fabric of this small society.,CENTER-PERIPHERY,"SPLITTING, PART-WHOLE, SUBSTANCE, FORCE",The thread has started to unravel the fabric of this small garment.,7,1,
The addition brought my house closer to what I had in mind.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",The extension moved the building nearer to the planned design.,5,7,
It is close on midnight.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, SCALE, CONTACT",The clock hand is near the twelve o'clock position.,7,5,
To answer that question we need to go further back in time.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, SCALE, FORCE",To reach that location we need to walk further back on the path.,7,4,
He became emotionally distant from his friends and family after the illness.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, SCALE, LINK, CENTER-PERIPHERY",He moved physically far away from his friends and family after relocating.,7,5,
My symptoms went away.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, FORCE, OBJECT",The birds flew away from the tree.,7,5,
House Democrats and Republicans moved closer to agreeing on a budget today.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, CONTACT, LINK, FORCE",The two groups of people walked towards each other in the room.,7,5,
It is unclear how the new law applies to this situation.,CENTER-PERIPHERY,"CONTACT, FORCE, CONTAINMENT",The paint is unclear how it covers this surface.,6,4,
total annotation,741,"0,3605839416",,,,
,,59/212= 27%,63% of low cases are wrong annotations from LLMs (153),,,
,,,how many times do we agree with it? (segno in arancione quelli in cui la valutazione di M2L è positiva (>=4) ma la valutazione di OA è negativa (<=3),,,
,,,"60/212 (total); 53/153, 1 third of the times the LLM disagree with the human annotation, we rate high the newly generated sentence but low the appropriateness of the newly generated sentence wrt the human annotated sentences, indicating we disagree with the human annotation",,,
