sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
She can stay/remain silent for days.,SOURCE_PATH_GOAL,"CONTAINMENT, SCALE, SUBSTANCE",The water can remain in the tank for days.,4,1,
She can remain silent for days.,SOURCE_PATH_GOAL,"CONTAINMENT, SCALE, SUBSTANCE",The water can remain in the tank for days.,4,1,
He is at rest.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, SCALE",The book is on the shelf.,5,1,original annotation
She is at play.,SOURCE_PATH_GOAL,"CONTAINMENT, SUBSTANCE, OBJECT",She is in the playground.,5,1,original annotation
He remained standing.,SOURCE_PATH_GOAL,"VERTICALITY, SUPPORT",The tree remained upright.,7,1,original annotation
He is at a certain stage in his studies.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, SCALE",He is at a specific point on the timeline of his education.,4,4,
What state is the project in?,SOURCE_PATH_GOAL,"CONTAINMENT, OBJECT",What room is the person in?,3,1,
They are in love.,SOURCE_PATH_GOAL,"CONTAINMENT, SUBSTANCE, FORCE",They are in the swimming pool.,6,1,
I’m close to being in a depression and the next thing that goes wrong will send me over the edge.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, SCALE, VERTICALITY",I'm standing near the edge of a cliff and the next gust of wind will push me off the ledge.,7,7,
I’m in love.,SOURCE_PATH_GOAL,"CONTAINMENT, SUBSTANCE, FORCE",I'm in the swimming pool.,6,1,
She’s out of her depression.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",She's out of the room.,4,1,
He’s on the edge of madness.,SOURCE_PATH_GOAL,"CONTAINMENT, SCALE, SOURCE_PATH_GOAL, SUPPORT",He's standing on the edge of the cliff.,7,3,
He’s in a deep depression.,SOURCE_PATH_GOAL,"CONTAINMENT, VERTICALITY, SCALE",He's in a deep hole.,7,4,
She’s close to insanity.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, SCALE",She's close to the edge of the cliff.,7,5,
We’re far from safety.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, CENTER-PERIPHERY",The car is far from the garage.,7,7,
Harry’s in trouble.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE",Harry's in a box.,4,1,
The renovation is at a crossroads.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SPLITTING, OBJECT",The road splits into two directions at this point.,7,7,
"When at rest, the computer goes into hibernation.",SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE","When inactive, the bear enters its den for winter sleep.",7,7,
East Timor took the first steps toward independence in the 1990s.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The hiker took the first steps toward the mountain peak on the trail.,7,7,
The country is slowly moving out of recession.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The car is slowly moving out of the garage.,7,7,
Shape up!,SOURCE_PATH_GOAL,"OBJECT, FORCE, VERTICALITY",Mold the clay into a specific form.,7,1,original annotation?
He is a conformist.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE",He is inside the mold.,7,1,original annotation?
She’s a reformed criminal.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",The clay is reshaped into a new form.,7,1,original annotation?
He is working in many areas.,SOURCE_PATH_GOAL,"CONTAINMENT, SUBSTANCE, SPLITTING",He is standing in many rooms.,1,1,he is god
He is in a difficult field.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, SUBSTANCE",He is standing in a rocky terrain.,5,1,original annotation?
There are many subareas in linguistics.,SOURCE_PATH_GOAL,"CONTAINMENT, PART-WHOLE",There are many rooms in a building.,7,4,
He ranks above me.,SOURCE_PATH_GOAL,"VERTICALITY, SCALE",The book is placed above the notebook on the shelf.,3,1,
They are lower class.,SOURCE_PATH_GOAL,"VERTICALITY, SCALE, CONTAINMENT",They are on the bottom shelf.,4,1,
Climbing the ladder in the company.,SOURCE_PATH_GOAL,"VERTICALITY, SOURCE_PATH_GOAL, SCALE, CONTAINMENT",Climbing the ladder in the building.,7,7,
Be nice to the people you meet on your way up. . .,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, CONTACT, LINK",Be friendly to the people you encounter while climbing a mountain.,7,7,
He’s the top of the heap.,SOURCE_PATH_GOAL,"VERTICALITY, SCALE, PART-WHOLE",The book is on top of the stack.,6,1,
Something good came about.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",The package arrived at the destination.,7,7,
It came into existence.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The baby emerged from the womb.,7,7,
It went out of existence.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The ball went out of the room.,7,7,
The baby is due any day.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, SCALE",The package will arrive any day.,7,7,
The baby is a new arrival.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",The package is a new delivery.,6,5,
No answers were forth-coming.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",No people were coming forward.,7,7,
He's no longer with us.,SOURCE_PATH_GOAL,"CONTAINMENT, LINK, SOURCE_PATH_GOAL",He's no longer in this room.,4,4,
He's gone / departed.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",He has left the room.,7,7,
The created object is brought into existence.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",The manufactured product is moved into the warehouse.,7,7,
The created object is brought into being.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",,,,
Aspirin can make your headaches go away.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The wind can make the clouds move away.,7,7,
He’s on the edge.,SOURCE_PATH_GOAL,"SUPPORT, SCALE, CONTAINMENT",The book is on the edge of the table.,4,1,
She came back from the brink.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, SCALE",She stepped away from the edge of the cliff.,7,7,
He went over the edge.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",He walked past the cliff's edge.,7,7,
I’m hanging on by my fingertips.,SOURCE_PATH_GOAL,"SUPPORT, CONTACT, FORCE, VERTICALITY",The climber is hanging on the cliff by their fingertips.,5,5,
I’m on shaky ground.,SOURCE_PATH_GOAL,"SUPPORT, VERTICALITY, FORCE",The building stands on unstable soil.,7,1,
We’ve got to explore this problem.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",We've got to walk through this maze.,,,
We’ve got to survey the problem.,SOURCE_PATH_GOAL,"OBJECT, COVERING, CONTAINMENT",We've got to survey the landscape.,,,
Let’s map out the problem before we do anything else.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",Let's draw a diagram of the process before we start the project.,,,
I think we’re headed in the right direction.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The car is driving on the correct road.,,,
How close are we to finding a solution?,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, CONTAINMENT, OBJECT",How near are we to the destination?,,,
The solution still lies far ahead.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, SCALE",The destination is still far down the road.,,,
We aren’t getting any nearer to an answer.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",The car isn't getting any closer to the destination.,,,
Let’s not leave any stone unturned.,SOURCE_PATH_GOAL,"CONTACT, FORCE, OBJECT, SOURCE_PATH_GOAL",Let's examine every item in the room.,,,
I’m leaning toward leaving.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, VERTICALITY",The tree is leaning toward the house.,,,
They pushed him into running for president.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",They physically pushed him into the voting booth.,,,
They prodded me to run.,SOURCE_PATH_GOAL,"FORCE, CONTACT, SOURCE_PATH_GOAL",They poked me with a stick to move forward.,,,
I was drawn into the bank robbery.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The magnet drew the nail into the container.,,,
They stopped me from leaving.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",The barrier blocked the car from exiting.,,,
I’ve taken steps toward canceling my policy.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, FORCE",I've walked steps toward the exit door.,,,
She’s close to resigning.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, CONTACT",She's standing close to the door.,,,
She backed away from resigning.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",She stepped backwards from the wall.,,,
She came near to resigning.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, CONTACT",She walked near to the building.,,,
He’s inching toward invading another country.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, FORCE, CONTAINMENT",The snail is slowly moving towards the leaf.,,,
The car is in motion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",The ball is rolling down the hill.,,,
She was forced into an arranged marriage.,SOURCE_PATH_GOAL,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",The ball was pushed into the box.,,,
Her parents kept pushing her until she succeeded.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, SCALE",The workers kept pushing the heavy cart until it reached its destination.,,,
"He's holding you back, you need to leave him.",SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, LINK, CONTACT","The rope is holding the boat back, you need to untie it.",,,
I'm going to the top and nothing will stand in my way.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, FORCE, OBJECT",I'm climbing to the summit and no obstacles are blocking my path.,,,
All the bridges that used to span this river are now gone.,SOURCE_PATH_GOAL,"LINK, SOURCE_PATH_GOAL, COVERING, OBJECT",All the ropes that used to stretch across this gap are now removed.,,,
Let’s hope he can keep the team on the road to success.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SUPPORT, FORCE, CONTAINMENT",Let's hope he can keep the car on the road to the destination.,,,
She went from fat to thin through an intensive exercise program.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, FORCE",She moved from one end of the room to the other through a narrow corridor.,,,
Do it this way.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",Walk along this path.,,,
She did it the other way.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",She walked in the opposite direction.,,,
Do it any way you can.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",Walk to the destination using any available path.,,,
However you want to go about it is fine with me.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, SCALE",Whichever route you choose to reach the destination is acceptable to me.,,,
"If this doesn’t work, I’ll try a different route.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT","If this road is blocked, I'll take a different street.",,,
"To be cool, you have to wear your overalls this way.",SOURCE_PATH_GOAL,"COVERING, SCALE, CONTAINMENT","To be comfortable, you have to wear your jacket zipped up.",,,
She solved the problem a different way.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",She walked to the destination using a different route.,,,
Do it any way you can.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",Walk to the destination using any available path.,,,
However you want to go about repairing it is fine with me.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, SCALE",Whichever route you choose to reach the destination is acceptable to me.,,,
He went from fat to thin through an intensive exercise program.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, FORCE",She moved from one end of the room to the other through a narrow corridor.,,,
He eased into bathing daily through the help of his friends.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, SUPPORT",He slowly entered the bathtub with assistance from others.,,,
He finally reached his goals.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTACT, OBJECT",He finally touched the finish line.,,,
He’s headed for great things.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",He's walking towards the tall buildings.,,,
It took him hours to reach a state of perfect concentration.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, CONTAINMENT",It took him hours to walk to the top of the mountain.,,,
"He’ll ultimately be successful, but he isn’t there yet.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE","He'll reach the finish line, but he's still on the track.",,,
We’ve reached the end.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTACT, OBJECT",The car has reached the destination.,,,
We are seeing the light at the end of the tunnel.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT, VERTICALITY",We are seeing the exit at the end of the underground passage.,,,
We only have a short way to go.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",The road ahead is short.,,,
We’re where we wanted to go.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT",We've arrived at our intended destination.,,,
The goal is a long way off.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The destination is far from our current location.,,,
The necessary retrofitting is now at an end.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The construction work on the building is now complete.,,,
He is just floating around.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SUBSTANCE, FORCE",The leaf is floating on the water surface.,,,
She is drifting aimlessly.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",The boat is drifting on the water.,,,
He needs some direction.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",He needs a map to navigate the city.,,,
Leave the past behind you.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",Leave the book behind you on the table.,,,
As we travel down life’s path. . .,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, SUBSTANCE",As we walk down the hiking trail...,,,
"I don’t know where I’m headed, but I’m enjoying getting there.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, FORCE","I don't know my destination, but I'm enjoying the journey.",,,
He just sails through life.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE",The boat sails through the water.,,,
He had a head start in life.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",He started the race ahead of the other runners.,,,
She hasn't gone as far in life as her parents had hoped.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, FORCE",She hasn't walked as far on the road as the distance marker indicated.,,,
His life has taken a good course.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",The river has taken a straight course.,,,
I go where my path leads me.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",I walk along the trail to its destination.,,,
"As I've traveled through life, I've made a lot of friends along the way.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, OBJECT","As I've walked along the road, I've met many people on the journey.",,,
"He has changed his direction in life, and taken a more spiritual path.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY","He has changed his walking direction, and taken a different hiking path.",,,
It's time to take the next big step in my life.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",It's time to move forward on the path ahead of me.,,,
"He made it this far in life without a partner, he can survive without one going forward.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SUPPORT, FORCE, LINK","He walked this far on the path without a companion, he can continue walking alone ahead.",,,
He's over the hill.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, SCALE",He's climbed to the top of the hill and is now descending the other side.,,,
She's past her peak.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY",The hiker has passed the mountain's summit.,,,
Life is full of peaks and valleys.,SOURCE_PATH_GOAL,"CONTAINMENT, VERTICALITY, SCALE, SUBSTANCE",The landscape is full of mountains and lowlands.,,,
He started going down a bad life path.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, SCALE","He started walking down a steep, rocky trail.",,,
They are at a crossroads in their relationship.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SPLITTING, OBJECT",They are standing at an intersection of two roads.,,,
Look how far we’ve come.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE",Look at the distance we've traveled on this road.,,,
We’ll just have to go our separate ways.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SPLITTING, LINK",The road splits into two different paths.,,,
We can’t turn back now.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",The car can't reverse on this road now.,,,
I don’t think this relationship is going anywhere.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT",The car is not moving on the road.,,,
Where are we?,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, CENTER-PERIPHERY",What is our physical location?,,,
We’re stuck.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, OBJECT",The car is stuck in the mud.,,,
"It’s been a long, bumpy road.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, SCALE",The highway has been long and uneven.,,,
This relationship is a dead-end street.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",This road is a dead-end street.,,,
We’re just spinning our wheels.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",The car's wheels are spinning without moving forward.,,,
Our marriage is on the rocks.,SOURCE_PATH_GOAL,"SUPPORT, FORCE, OBJECT",The boat is on the rocks.,,,
We’ve gotten off the track.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The train has derailed from the railway track.,,,
This relationship is foundering.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, VERTICALITY",The ship is sinking in the ocean.,,,
We’re heading in different directions.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SPLITTING",The cars are driving on diverging roads.,,,
The marriage is out of gas.,SOURCE_PATH_GOAL,"CONTAINMENT, SUBSTANCE, FORCE",The car is out of fuel.,,,
We’re trying to keep the relationship afloat.,SOURCE_PATH_GOAL,"SUPPORT, FORCE, VERTICALITY, SUBSTANCE",We're trying to keep the boat afloat on the water.,,,
We may have to bail out of this relationship.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",We may have to exit this room.,,,
The new stadium is bogged down.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, SUBSTANCE",The car is stuck in the mud.,,,
Where are we in this relationship?,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",Where are we standing in this room?,,,
It feels like this relationship is going nowhere.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",The car is driving on a road that leads to a dead end.,,,
He’s hit a crossroads in his career.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SPLITTING, CONTACT",The car has reached an intersection on the road.,,,
Do it over.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",Paint the wall again.,,,
"In the course of the investigation, new evidence was found.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT","During the walk along the path, a new object was discovered.",,,
Follow along as I assemble this.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, PART-WHOLE, LINK",Walk behind me as I put these pieces together.,,,
Follow these steps in assembly.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, PART-WHOLE",Walk these stairs in the building.,,,
His job offer opened up new paths for me.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",The door opened up new rooms for exploration.,,,
I can go whichever I want with this project.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",I can walk in any direction on this road.,,,
Opportunity is an open door.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The entrance is an open door.,,,
Open up your own opportunities.,SOURCE_PATH_GOAL,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",Open up the door to the room.,,,
The temperature edged toward 90 degrees.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The car edged toward the parking space.,,,
Bob was ahead of Sam on the scale of intelligence.,SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, VERTICALITY",Bob was in front of Sam on the measuring tape.,,,
Unemployment moved closer and closer to 10%.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT",The car moved closer and closer to the building.,,,
The interest rate fell behind the expected amount.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, SCALE",The runner fell behind the leader in the race.,,,
John’s intelligence goes way beyond Bill’s.,SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, VERTICALITY",John's car drives far beyond Bill's house.,,,
Fuel consumption rose to the highest it has been in 20 years.,SOURCE_PATH_GOAL,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The water level in the reservoir rose to the highest point it has reached in 20 years.,,,
The temperature shot up.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, FORCE, SCALE",The rocket shot up into the sky.,,,
We reason from premise to conclusion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, FORCE",We walk from the starting point to the destination.,,,
It goes against reason that she’s guilty.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",The car goes against the flow of traffic.,,,
Reason forces me to that conclusion.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",The wind forces the leaf to the ground.,,,
Reason leads me to that conclusion.,SOURCE_PATH_GOAL,"FORCE, SOURCE_PATH_GOAL, OBJECT",The wind forces the leaf to the ground.,,,
Let us start out from the proposition that Hamlet feared his father.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",Let us begin our journey from this point on the map.,,,
You can't move to that conclusion from where you are now.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",You can't walk to that building from your current location.,,,
From here I'll proceed to show that humans are slaves of their passions.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT, LINK","From this point, I'll walk to demonstrate that workers are bound to their tasks.",,,
"Once you reach that point in the argument, you've got to go on to the conclusion.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE","Once you reach that point on the road, you've got to continue to the destination.",,,
The next step is to demonstrate that monkeys can make tools.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, FORCE",The next rung on the ladder is to show that monkeys can create physical implements.,,,
He got off the track of the argument.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",He stepped off the railway track.,,,
That assumption will lead you astray.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE",That guide will lead you off the correct path.,,,
I don't follow you.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK",I don't walk behind you on the path.,,,
"This lecture will be fast-paced, so try to keep up!",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, LINK","This runner is moving quickly, so try to maintain the same speed!",,,
We have set out to prove that bats are birds.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",We have started walking to reach the mountain peak.,,,
"When we get to the next point, we shall see that philosophy is dead.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, VERTICALITY","When we reach the next landmark, we will observe that the tree has fallen.",,,
"So far, we’ve seen that no current theories will work.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, OBJECT, FORCE","Up to this point on the path, we've observed that no existing tools will function.",,,
We will proceed in a step-by-step fashion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, PART-WHOLE",We will walk up the stairs one step at a time.,,,
Our goal is to show that hummingbirds are essential to military defense.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SUPPORT, CONTAINMENT",Our destination is to demonstrate that pillars are crucial to building structure.,,,
This observation points the way to an elegant solution.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, LINK",The signpost points the way to the destination.,,,
We have arrived at a disturbing conclusion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",We have reached the end of the road.,,,
We will proceed in a step-by-step fashion.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, PART-WHOLE",We will walk up the stairs one step at a time.,,,
We have covered a lot of ground.,SOURCE_PATH_GOAL,"COVERING, SOURCE_PATH_GOAL, SCALE",We walked across a large area of land.,,,
He strayed from the line of argument.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, OBJECT",He walked away from the marked path.,,,
Do you follow my argument?,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK, OBJECT",Do you walk behind me on this path?,,,
Now we’ve gone off in the wrong direction again.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",The car has turned onto the incorrect road again.,,,
You’re going around in circles.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The car is driving around the circular track.,,,
We’re getting off track.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",The train is getting off the rails.,,,
Don’t interrupt my train of thought.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, FORCE, LINK",Don't stop the moving vehicle on the track.,,,
I can follow what he’s saying.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, LINK",I can walk behind him on the path.,,,
She’s got a one-track mind.,SOURCE_PATH_GOAL,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The train runs on a single railway track.,,,
They are far beyond us in technological achievements.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY",They are ahead of us on the road of technological progress.,,,
He surpassed his teacher.,SOURCE_PATH_GOAL,"SCALE, SOURCE_PATH_GOAL, FORCE",The runner passed the finish line.,,,
He is way ahead of the rest of us.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY",The runner is far in front of the other competitors.,,,
He’s ahead of the pack.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, CONTAINMENT",The runner is in front of the group.,,,
We have fallen behind the Soviet Union in space exploration.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY",Our car has fallen behind the truck on the highway.,,,
We are miles ahead of them.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SCALE, VERTICALITY",We are standing several meters in front of them.,,,
We were left behind.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",The luggage was left at the station.,,,
He strayed from the path.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, SPLITTING",The dog wandered away from the trail.,,,
He’s gone off in the wrong direction.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, FORCE, OBJECT",The car has driven off on the incorrect road.,,,
